System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
210000004027,,,26-130-19,,Product,Front 26 Black QR,2,1,$40.00,$5.20,$34.80,$39.32,$21.70,$13.10,37.64%
210000004028,,,14-120-83,,Product,LIGHT-621C 170MM 34/50t 11s CRANK,0,2,$240.00,$12.60,$227.40,$256.96,$119.70,$107.70,47.36%
210000004029,58817102790,,174235-04,,Product,49N ULTRA GRIP PU BAR TAPE BLUE,1,2,$62.00,$0.00,$62.00,$70.06,$31.00,$31.00,50%
210000004030,4712765145235,,345080-01,,Product,SUPER B 10-11 SPEED CHAIN TOOL,0,3,$114.00,$7.60,$106.40,$120.23,$57.00,$49.40,46.43%
210000004031,818113020682,,06-1150,,Product,ESI Plush Silicone Blk,0,9,$254.49,$3.90,$250.59,$283.16,$130.41,$120.18,47.96%
210000004032,,,26-530-69,,Product,Front 26 Black Double Wall Nutted,0,3,$150.00,$0.00,$150.00,$169.50,$66.78,$83.22,55.48%
210000004033,,,26-130-18,,Product,Front 26 Black Nutted,0,1,$42.00,$0.00,$42.00,$47.46,$20.48,$21.52,51.24%
210000004034,628250704822,,005-0065,,Product,WPL Tubeless Tire Sealant 250ml,3,11,$220.00,$7.00,$213.00,$240.69,$93.50,$119.50,56.10%
210000004036,181517000605,,006-0120,,Product,ESI Road Wrap Orange,2,1,$75.00,$0.00,$75.00,$84.75,$38.99,$36.01,48.01%
210000004037,628250704105,,005-0090,,Product,WPL Absolute Bike Grease 454g,3,1,$27.00,$0.00,$27.00,$30.51,$13.50,$13.50,50%
210000004038,628250704020,,005-0020,,Product,WPL Forkboost Lube 120ml,1,5,$75.00,$0.00,$75.00,$84.75,$32.50,$42.50,56.67%
210000004039,628250704051,,005-0040,,Product,WPL Bio-Solvent Degreaser 473ml,3,1,$17.00,$0.00,$17.00,$19.21,$8.00,$9.00,52.94%
210000004040,,,015-0000,,Product,Jet Black Volt Trainer,0,1,$689.99,$0.00,$689.99,$779.69,$689.99,$0.00,0%
210000004042,,,450967-01,,Product,"Look, Keo Blade Carbon Ceramic, Pedals, Body: Carbon, Spindle: Cr-Mo, 9/16'', Black, Pair",1,2,$399.98,$0.00,$399.98,$451.98,$402.48,-$2.50,-0.63%
210000004043,770612335417,,041390-06-700,,Product,"Wheel Shop, Evo Tour 16 Black/ Shimano Sora HB-RS300, Wheel, Front, 700C / 622, Holes: 32, QR, 100mm, Rim",1,2,$148.00,$0.00,$148.00,$167.24,$73.98,$74.02,50.01%
210000004044,,,FV21030335,,Product,Devinci Hex Deore 9s MD Green Rockwood,0,1,"$1,100.00",$0.00,"$1,100.00","$1,243.00",$720.00,$380.00,34.55%
210000004045,,,FV21030335,,Product,Devinci Hatchet A Claris 16s LG Navy,0,1,"$1,500.00",$0.00,"$1,500.00","$1,695.00",$960.00,$540.00,36%
210000004046,,,FV21023311,,Product,Devinci Hatchet A Claris 16s MD Navy,0,1,"$1,500.00",$0.00,"$1,500.00","$1,695.00",$960.00,$540.00,36%
210000004047,,,FV21061211,,Product,Devinci Blackbird Altus 8s SM Black,0,2,"$1,500.00",$0.00,"$1,500.00","$1,695.00",$946.00,$554.00,36.93%
210000004048,,,FV21030435,,Product,Devinci Hex Deore 9s LG Green Rockwood,0,1,"$1,000.00",$0.00,"$1,000.00","$1,130.00",$720.00,$280.00,28%
210000004049,,,FV21059211,,Product,Devinci Riff Altus 8s SM Red,0,1,$750.00,$0.00,$750.00,$847.50,$473.00,$277.00,36.93%
210000004050,58817931642,,171002-01,,Product,49N HANDLEBAR CUP HOLDER,0,5,$80.00,$3.50,$76.50,$86.45,$37.50,$39.00,50.98%
210000004051,883466003170,4712511824384,171094-01,,Product,TOPEAK CAGEMOUNT,0,5,$49.50,$1.10,$48.40,$54.70,$27.50,$20.90,43.18%
210000004052,765250001800,,310304-01,,Product,AVID FR-5 LEVERS SILVER,0,3,$90.00,$2.40,$87.60,$98.99,$39.75,$47.85,54.62%
210000004053,710845798474,,319317-01,,Product,ROCKSHOX MAXLE STEALTH REAR AXLE 12 X 142 RD (L160),0,1,$25.00,$0.00,$25.00,$28.25,$25.00,$0.00,0%
210000004054,,,26-131-79,,Product,REAR WHEEL 26 X 1.75-2.125 COASTER,0,2,$204.00,$0.00,$204.00,$230.52,$116.88,$87.12,42.71%
210000004055,621920560025,,56-065-60,,Product,Tire 26 x 1.95 BLK,0,10,$250.00,$0.00,$250.00,$282.50,$82.10,$167.90,67.16%
210000004056,621920560872,,56-065-73,,Product,Tire 26 x 1.95 BLK fine tread,0,10,$250.00,$0.00,$250.00,$282.50,$85.00,$165.00,66%
